id,default_code,name,type,weight,sale_ok,purchase_ok,maple_syrup,maple_container,categ_id:id,tracking,uom_id/id,uom_po_id/id,attribute_line_ids/attribute_id/id
container_U38,U38,Single Use barrel (tar:38),product,38,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U39,U39,Single Use barrel (tar:39),product,39,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U40,U40,Single Use barrel (tar:40),product,40,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U41,U41,Single Use barrel (tar:41),product,41,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U42,U42,Single Use barrel (tar:42),product,42,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U43,U43,Single Use barrel (tar:43),product,43,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U44,U44,Single Use barrel (tar:44),product,44,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U45,U45,Single Use barrel (tar:45),product,45,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U46,U46,Single Use barrel (tar:46),product,46,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U47,U47,Single Use barrel (tar:47),product,47,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U48,U48,Single Use barrel (tar:48),product,48,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U49,U49,Single Use barrel (tar:49),product,49,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U50,U50,Single Use barrel (tar:50),product,50,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U51,U51,Single Use barrel (tar:51),product,51,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U52,U52,Single Use barrel (tar:52),product,52,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U53,U53,Single Use barrel (tar:53),product,53,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_T1040,T1040,IBC Tote (1040 L),product,200,0,1,0,1,maple.container_category_t,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_T1250,T1250,IBC Tote (1250 L),product,230,0,1,0,1,maple.container_category_t,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
